ProductKey,ProductCategorie
1,Zonder verblijf: ambulant loc. aanbieder
2,Specialistische ggz
3,Specialistische ggz
4,Specialistische ggz
5,Specialistische ggz
6,Specialistische ggz
7,Specialistische ggz
8,Specialistische ggz
9,Zonder verblijf: ambulant loc. aanbieder
10,Zonder verblijf: ambulant loc. aanbieder
11,Zonder verblijf: ambulant loc. aanbieder
12,Zonder verblijf: ambulant loc. aanbieder
13,Zonder verblijf: ambulant loc. aanbieder
14,Specialistische ggz
15,Specialistische ggz
16,Specialistische ggz
17,Specialistische ggz
18,Specialistische ggz
19,Specialistische ggz
20,Specialistische ggz
21,Specialistische ggz
22,Specialistische ggz
23,Specialistische ggz
24,Specialistische ggz
25,Specialistische ggz
26,Specialistische ggz
27,Specialistische ggz
28,Zonder verblijf: ambulant loc. aanbieder
29,Zonder verblijf: ambulant loc. aanbieder
30,Specialistische ggz
31,Specialistische ggz
32,Specialistische ggz
33,Specialistische ggz
34,Specialistische ggz
35,Specialistische ggz
36,Specialistische ggz
37,Specialistische ggz
38,Specialistische ggz
39,Specialistische ggz
40,Specialistische ggz
41,Specialistische ggz
42,Specialistische ggz
43,Specialistische ggz
44,Specialistische ggz
45,Specialistische ggz
46,Specialistische ggz
47,Specialistische ggz
48,Specialistische ggz
49,Specialistische ggz
50,Specialistische ggz
51,Specialistische ggz
52,Specialistische ggz
53,Specialistische ggz
54,Specialistische ggz
55,Specialistische ggz
56,Specialistische ggz
57,Specialistische ggz
58,Specialistische ggz
59,Specialistische ggz
60,Specialistische ggz
61,Specialistische ggz
62,Specialistische ggz
63,Specialistische ggz
64,Specialistische ggz
65,Specialistische ggz
66,Specialistische ggz
67,Specialistische ggz
68,Specialistische ggz
69,Specialistische ggz
70,Specialistische ggz
71,Specialistische ggz
72,Specialistische ggz
73,Specialistische ggz
74,Specialistische ggz
75,Specialistische ggz
76,Specialistische ggz
77,Specialistische ggz
78,Specialistische ggz
79,Specialistische ggz
80,Specialistische ggz
81,Specialistische ggz
82,Specialistische ggz
83,Specialistische ggz
84,Specialistische ggz
85,Specialistische ggz
86,Specialistische ggz
87,Specialistische ggz
88,Specialistische ggz
89,Specialistische ggz
90,Specialistische ggz
91,Specialistische ggz
92,Specialistische ggz
93,Specialistische ggz
94,Specialistische ggz
95,Specialistische ggz
96,Specialistische ggz
97,Specialistische ggz
98,Specialistische ggz
99,Specialistische ggz
100,Specialistische ggz
101,Specialistische ggz
102,Specialistische ggz
103,Specialistische ggz
104,Specialistische ggz
105,Specialistische ggz
106,Specialistische ggz
107,Specialistische ggz
108,Specialistische ggz
109,Specialistische ggz
110,Specialistische ggz
111,Specialistische ggz
112,Specialistische ggz
113,Specialistische ggz
114,Specialistische ggz
115,Specialistische ggz
116,Specialistische ggz
117,Specialistische ggz
118,Specialistische ggz
119,Specialistische ggz
120,Specialistische ggz
121,Specialistische ggz
122,Specialistische ggz
123,Specialistische ggz
124,Specialistische ggz
125,Specialistische ggz
126,Specialistische ggz
127,Specialistische ggz
128,Specialistische ggz
129,Specialistische ggz
130,Specialistische ggz
131,Specialistische ggz
132,Specialistische ggz
133,Specialistische ggz
134,Specialistische ggz
135,Specialistische ggz
136,Specialistische ggz
137,Specialistische ggz
138,Specialistische ggz
139,Specialistische ggz
140,Met verblijf: overig residentieel
141,Specialistische ggz
142,Specialistische ggz
143,Zonder verblijf: door wijk- of buurtteam
144,Zonder verblijf: ambulant loc. aanbieder
145,Specialistische ggz
146,Zonder verblijf: ambulant loc. aanbieder
147,Dagbesteding
148,Zonder verblijf: ambulant loc. aanbieder
149,Met verblijf: overig residentieel
150,Met verblijf: overig residentieel
151,Met verblijf: overig residentieel
152,Met verblijf: overig residentieel
153,Zonder verblijf: jeugdhulp eigen netwerk
154,Zonder verblijf: jeugdhulp eigen netwerk
155,Zonder verblijf: jeugdhulp eigen netwerk
156,Zonder verblijf: jeugdhulp eigen netwerk
157,Jeugdhulp ambulant
158,Jeugdhulp ambulant
159,Zonder verblijf: jeugdhulp eigen netwerk
160,Jeugdhulp ambulant
161,Jeugdhulp ambulant
162,Jeugdhulp ambulant
163,Jeugdhulp ambulant
164,Zonder verblijf: jeugdhulp eigen netwerk
165,Zonder verblijf: ambulant loc. aanbieder
166,Zonder verblijf: ambulant loc. aanbieder
167,Zonder verblijf: ambulant loc. aanbieder
168,Zonder verblijf: ambulant loc. aanbieder
169,Jeugdhulp ambulant
170,Zonder verblijf: ambulant loc. aanbieder
171,Jeugdhulp ambulant
172,Jeugdhulp ambulant
173,Jeugdhulp ambulant
174,Zonder verblijf: ambulant loc. aanbieder
175,Dagbehandeling
176,Jeugdhulp ambulant
177,Jeugdhulp ambulant
178,Jeugdhulp ambulant
179,Jeugdhulp ambulant
180,Jeugdhulp ambulant
181,Jeugdhulp ambulant
182,Jeugdhulp ambulant
183,Jeugdhulp ambulant
184,Jeugdhulp ambulant
185,Zonder verblijf: ambulant loc. aanbieder
186,Zonder verblijf: ambulant loc. aanbieder
187,Zonder verblijf: jeugdhulp eigen netwerk
188,Zonder verblijf: jeugdhulp eigen netwerk
189,Zonder verblijf: jeugdhulp eigen netwerk
190,Zonder verblijf: jeugdhulp eigen netwerk
191,Zonder verblijf: jeugdhulp eigen netwerk
192,Zonder verblijf: jeugdhulp eigen netwerk
193,Zonder verblijf: jeugdhulp eigen netwerk
194,Met verblijf: overig residentieel
195,Met verblijf: pleegzorg
196,Met verblijf: pleegzorg
197,Met verblijf: gesloten plaatsing
198,Met verblijf: overig residentieel
199,Met verblijf: overig residentieel
200,Met verblijf: overig residentieel
201,Met verblijf: overig residentieel
202,Met verblijf: overig residentieel
203,Met verblijf: overig residentieel
204,Met verblijf: overig residentieel
205,Met verblijf: overig residentieel
206,Met verblijf: overig residentieel
207,Met verblijf: overig residentieel
208,Met verblijf: overig residentieel
209,Met verblijf: overig residentieel
210,Met verblijf: overig residentieel
211,Met verblijf: overig residentieel
212,Met verblijf: overig residentieel
213,Met verblijf: overig residentieel
214,Met verblijf: overig residentieel
215,Met verblijf: overig residentieel
216,Met verblijf: overig residentieel
217,Zonder verblijf: ambulant loc. aanbieder
218,Met verblijf: overig residentieel
219,Met verblijf: overig residentieel
220,Met verblijf: overig residentieel
221,Met verblijf: overig residentieel
222,Met verblijf: overig residentieel
223,Met verblijf: overig residentieel
224,Met verblijf: overig residentieel
225,Met verblijf: overig residentieel
226,Met verblijf: gezinsgericht
227,Met verblijf: overig residentieel
228,Met verblijf: overig residentieel
229,Met verblijf: overig residentieel
230,Met verblijf: overig residentieel
231,Met verblijf: overig residentieel
232,Met verblijf: overig residentieel
233,Met verblijf: overig residentieel
234,Met verblijf: overig residentieel
235,Met verblijf: overig residentieel
236,Met verblijf: overig residentieel
237,Met verblijf: overig residentieel
238,Met verblijf: overig residentieel
239,Met verblijf: gezinsgericht
240,Zonder verblijf: jeugdhulp eigen netwerk
241,Zonder verblijf: ambulant loc. aanbieder
242,Zonder verblijf: ambulant loc. aanbieder
243,Specialistische ggz
244,Specialistische ggz
245,Zonder verblijf: ambulant loc. aanbieder
246,Zonder verblijf: door wijk- of buurtteam
247,Met verblijf: overig residentieel
248,Met verblijf: overig residentieel
249,Met verblijf: gesloten plaatsing
250,Zonder verblijf: ambulant loc. aanbieder
251,Zonder verblijf: ambulant loc. aanbieder
252,Met verblijf: overig residentieel
253,Zonder verblijf: jeugdhulp eigen netwerk
254,Met verblijf: gezinsgericht
255,Zonder verblijf: daghulp loc. aanbieder
256,Persoonlijke verzorging
257,Persoonlijke verzorging
258,Persoonlijke verzorging
259,Dagbehandeling
260,Dagbehandeling
261,Dagbehandeling
262,Dagbehandeling
263,Dagbehandeling
264,Dagbehandeling
265,Dagbehandeling
266,Met verblijf: pleegzorg
267,Dagbehandeling
268,Vervoerdiensten
269,Vervoerdiensten
270,Jeugdhulp verblijf (incl. behandeling)
271,Jeugdhulp verblijf (excl. behandeling)
272,Jeugdhulp verblijf (incl. behandeling)
273,Jeugdhulp verblijf (incl. behandeling)
274,Jeugdhulp verblijf (incl. behandeling)
275,Jeugdhulp verblijf (incl. behandeling)
276,Jeugdhulp verblijf (incl. behandeling)
277,Jeugdhulp verblijf (incl. behandeling)
278,Jeugdhulp verblijf (incl. behandeling)
279,Jeugdhulp verblijf (incl. behandeling)
280,Jeugdhulp verblijf (incl. behandeling)
281,Jeugdhulp verblijf (incl. behandeling)
282,Jeugdhulp verblijf (incl. behandeling)
283,Jeugdhulp verblijf (incl. behandeling)
284,Jeugdhulp verblijf (incl. behandeling)
285,Jeugdhulp verblijf (incl. behandeling)
286,Jeugdhulp verblijf (excl. behandeling)
287,Jeugdhulp verblijf (excl. behandeling)
288,Jeugdhulp verblijf (excl. behandeling)
289,Jeugdhulp verblijf (excl. behandeling)
290,Jeugdhulp verblijf (excl. behandeling)
291,Jeugdhulp verblijf (excl. behandeling)
292,Jeugdhulp verblijf (excl. behandeling)
293,Jeugdhulp verblijf (excl. behandeling)
294,Jeugdhulp verblijf (excl. behandeling)
295,Jeugdhulp verblijf (excl. behandeling)
296,Jeugdhulp verblijf (excl. behandeling)
297,Jeugdhulp verblijf (excl. behandeling)
298,Jeugdhulp verblijf (excl. behandeling)
299,Jeugdhulp verblijf (excl. behandeling)
300,Jeugdhulp verblijf (excl. behandeling)
301,Jeugdhulp verblijf (excl. behandeling)
302,Jeugdhulp ambulant
303,Jeugdhulp ambulant
304,Jeugdhulp ambulant
305,Jeugdhulp ambulant
306,Jeugdhulp ambulant
307,Jeugdhulp ambulant
308,Jeugdhulp ambulant
309,Jeugdhulp ambulant
310,Jeugdhulp ambulant
311,Jeugdhulp ambulant
312,Jeugdhulp ambulant
313,Jeugdhulp ambulant
314,Jeugdhulp ambulant
315,Jeugdhulp ambulant
316,Jeugdhulp ambulant
317,Jeugdhulp ambulant
318,Jeugdhulp crisis
319,Jeugdhulp crisis
320,Jeugdhulp crisis
321,Jeugdhulp crisis
322,Jeugdreclassering
323,Jeugdreclassering
324,Jeugdreclassering
325,Jeugdreclassering
326,Jeugdreclassering
327,Jeugdreclassering
328,Jeugdreclassering
329,Jeugdreclassering
330,Jeugdreclassering
331,Jeugdbescherming
332,Jeugdbescherming
333,Jeugdbescherming
334,Jeugdbescherming
335,Jeugdbescherming
